&#x1f4f8;	camera with flash
&#x1f4f9;	video camera
&#x1f4fc;	videocassette
&#x1f505;	low brightness symbol
&#x1f506;	high brightness symbol
&#x1f50d;	left-pointing magnifying glass
&#x1f50e;	right-pointing magnifying glass
&#x1f52c;	microscope
&#x1f52d;	telescope
&#x1f4e1;	satellite antenna
&#x1f56f;	candle
&#x1f4a1;	electric light bulb
&#x1f526;	electric torch
&#x1f3ee;	izakaya lantern
&#x1f4d4;	notebook with decorative cover
&#x1f4d5;	closed book
&#x1f4d6;	open book
&#x1f4d7;	green book
&#x1f4d8;	blue book
&#x1f4d9;	orange book
&#x1f4da;	books
&#x1f4d3;	notebook
&#x1f4d2;	ledger
&#x1f4c3;	page with curl
&#x1f4dc;	scroll
&#x1f4c4;	page facing up
&#x1f4f0;	newspaper
&#x1f5de;	rolled-up newspaper
&#x1f4d1;	bookmark tabs
&#x1f516;	bookmark
&#x1f4b0;	money bag
&#x1f4b4;	banknote with yen sign
&#x1f4b5;	banknote with dollar sign
&#x1f4b6;	banknote with euro sign
&#x1f4b7;	banknote with pound sign
&#x1f4b8;	money with wings
&#x1f4b1;	currency exchange
&#x1f4b2;	heavy dollar sign
&#x1f4b3;	credit card
&#x1f4b9;	chart with upwards trend and yen sign
&#x2709;	envelope
&#x1f4e7;	e-mail symbol
&#x1f4e8;	incoming envelope
&#x1f4e9;	envelope with downwards arrow above
&#x1f4e4;	outbox tray
&#x1f4e5;	inbox tray
&#x1f4e6;	package
&#x1f4eb;	closed mailbox with raised flag
&#x1f4ea;	closed mailbox with lowered flag
&#x1f4ec;	open mailbox with raised flag
&#x1f4ed;	open mailbox with lowered flag
&#x1f4ee;	postbox
&#x1f5f3;	ballot box with ballot
&#x270f;	pencil
&#x2712;	black nib
&#x1f58b;	lower left fountain pen
&#x1f58a;	lower left ballpoint pen
&#x1f58c;	lower left paintbrush
&#x1f58d;	lower left crayon
&#x1f4dd;	memo
&#x1f4bc;	briefcase
&#x1f4c1;	file folder
&#x1f4c2;	open file folder
&#x1f5c2;	card index dividers
&#x1f4c5;	calendar
&#x1f4c6;	tear-off calendar
&#x1f5d2;	spiral note pad
&#x1f5d3;	spiral calendar pad
&#x1f4c7;	card index
&#x1f4c8;	chart with upwards trend
&#x1f4c9;	chart with downwards trend
&#x1f4ca;	bar chart
&#x1f4cb;	clipboard
&#x1f4cc;	pushpin
&#x1f4cd;	round pushpin
&#x1f4ce;	paperclip
&#x1f587;	linked paperclips
&#x1f4cf;	straight ruler
&#x1f4d0;	triangular ruler
&#x1f4db;	name badge
&#x2702;	black scissors
&#x1f5c3;	card file box
&#x1f5c4;	file cabinet
&#x1f5d1;	wastebasket
&#x1f512;	lock
&#x1f513;	open lock
&#x1f50f;	lock with ink pen
&#x1f510;	closed lock with key
&#x1f511;	key
&#x1f5dd;	old key
&#x1f528;	hammer
&#x26cf;	pick
&#x2692;	hammer and pick
&#x1f6e0;	hammer and wrench
&#x1f527;	wrench
&#x1f529;	nut and bolt
&#x2699;	gear
&#x1f5dc;	compression
&#x2697;	alembic
&#x2696;	scales
&#x1f517;	link symbol
&#x26d3;	chains
&#x1f489;	syringe
&#x1f48a;	pill
&#x1f5e1;	dagger knife
&#x1f52a;	hocho
&#x2694;	crossed swords
&#x1f52b;	pistol
&#x1f6e1;	shield
&#x1f3f9;	bow and arrow
&#x1f6ac;	smoking symbol
&#x26b0;	coffin
&#x26b1;	funeral urn
&#x1f3c1;	chequered flag
&#x1f3f3;	waving white flag
&#x1f3f4;	waving black flag
&#x1f6a9;	triangular flag on post
&#x1f1e6 u+1f1eb;	flag for Afghanistan
&#x1f1e6 u+1f1fd;	flag for Åland Islands
&#x1f1e6 u+1f1f1;	flag for Albania
&#x1f1e9 u+1f1ff;	flag for Algeria
&#x1f1e6 u+1f1f8;	flag for American Samoa
&#x1f1e6 u+1f1e9;	flag for Andorra
&#x1f1e6 u+1f1f4;	flag for Angola
&#x1f1e6 u+1f1ee;	flag for Anguilla
&#x1f1e6 u+1f1f6;	flag for Antarctica
&#x1f1e6 u+1f1ec;	flag for Antigua &amp; Barbuda
